,center_lat,center_lon
517,51.9862462,4.3636483
518,51.9830750,4.3401004
519,51.9815473,4.3376866
520,51.9809336,4.3432981
521,51.9812472,4.3570118
522,51.9846110,4.3525295
523,51.9793346,4.3413537
524,51.9799188,4.3414437
525,51.9803510,4.3497550
526,51.9783614,4.3446250
527,51.9834425,4.3587543
528,51.9862248,4.3570077
529,51.9840205,4.3513241
530,51.9846124,4.3490913
531,51.9819227,4.3573644
532,51.9857131,4.3612582
533,51.9845323,4.3498730
534,51.9912359,4.3809063
535,51.9814821,4.3424863
536,51.9812404,4.3596738
537,51.9810687,4.3569382
538,51.9847806,4.3655606
539,51.9790468,4.3397905
540,51.9857854,4.3657571
541,51.9841988,4.3491062
542,51.9867697,4.3592476
543,51.9865813,4.3598000
544,51.9813284,4.3427239
545,51.9861188,4.3614885
546,51.9818467,4.3675270
547,51.9839702,4.3657210
548,51.9836030,4.3397669
549,51.9810864,4.3456417
550,51.9847579,4.3509837
551,51.9866131,4.3579850
552,51.9805791,4.3435724
553,51.9833807,4.3514444
554,51.9821892,4.3602521
555,51.9811716,4.3456016
556,51.9814331,4.3666162
557,51.9867129,4.3617031
558,51.9808551,4.3434592
559,51.9862423,4.3646356
560,51.9833523,4.3600012
561,51.9814193,4.3613270
562,51.9792425,4.3386273
563,51.9814410,4.3663687
564,51.9786386,4.3689814
565,51.9814502,4.3650740
566,51.9840084,4.3513912
567,51.9852053,4.3634962
568,51.9853074,4.3505902
569,51.9854862,4.3623416
570,51.9816037,4.3660181
571,51.9833131,4.3379125
572,51.9780344,4.3437881
573,51.9848121,4.3516366
574,51.9848049,4.3772050
575,51.9810559,4.3444416
576,51.9842320,4.3644243
577,51.9822241,4.3391779
578,51.9845170,4.3572109
579,51.9851274,4.3494371
580,51.9819957,4.3641735
581,51.9817627,4.3563568
582,51.9833934,4.3525638
583,51.9820622,4.3603371
584,51.9875496,4.3630661
585,51.9840459,4.3457679
586,51.9792138,4.3386391
587,51.9793801,4.3416439
588,51.9822739,4.3406467
589,51.9824180,4.3479704
590,51.9823574,4.3494104
591,51.9844545,4.3654097
592,51.9781140,4.3446741
593,51.9868393,4.3549492
594,51.9860117,4.3653715
595,51.9811803,4.3455378
596,51.9785442,4.3468883
597,51.9814574,4.3667681
598,51.9802651,4.3490343
599,51.9868697,4.3551441
600,51.9839645,4.3634224
601,51.9817044,4.3423954
602,51.9848712,4.3524226
603,51.9840439,4.3449117
604,51.9809236,4.3449187
605,51.9872012,4.3639199
606,51.9790268,4.3395871
607,51.9783529,4.3445726
608,51.9836933,4.3403447
609,51.9866551,4.3598238
610,51.9824050,4.3391040
611,51.9785868,4.3439074
612,51.9830798,4.3401312
613,51.9832426,4.3588366
614,51.9838581,4.3413334
615,51.9804719,4.3590791
616,51.9819295,4.3589314
617,51.9846370,4.3650829
618,51.9831903,4.3580441
619,51.9834386,4.3484930
620,51.9837124,4.3503241
621,51.9872104,4.3624003
622,51.9802855,4.3382609
623,51.9844605,4.3501715
624,51.9827748,4.3370633
625,51.9808587,4.3571941
626,51.9843278,4.3556972
627,51.9795041,4.3569506
628,51.9852174,4.3500136
629,51.9792257,4.3407153
630,51.9859017,4.3611810
631,51.9815210,4.3655083
632,51.9846671,4.3519485
633,51.9822055,4.3454166
634,51.9861488,4.3565112
635,51.9852334,4.3653320
636,51.9792566,4.3410794
637,51.9819932,4.3488355
