,latitude,longitude,addr,amenity
254,52.0163587,4.3632973,1,[]
255,52.0138523,4.3666135,4,[]
256,52.012681,4.3675982,6,[]
257,52.0180701,4.3653357,2,[]
258,52.0170337,4.3634457,2,[]
259,52.0131034,4.3688519,1,[]
260,52.0147081,4.3653585,3,[]
261,52.0134306,4.3690608,4,[]
262,52.0152306,4.3681218,2,[]
263,52.0163723,4.3625742,1,[]
264,52.0164167,4.3634381,1,[]
265,52.0181381,4.3624409,1,[]
266,52.0128981,4.367728,1,[]
267,52.0135564,4.3662142,4,[]
268,52.0182107,4.3672623,1,[]
269,52.0170463,4.3652915,1,[]
270,52.0177984,4.3628058,1,[]
271,52.0179919,4.3621215,2,[]
272,52.0154148,4.3680917,7,[]
273,52.0137408,4.3663685,3,[]
274,52.0150232,4.3649579,1,[]
275,52.0148972,4.3686701,8,[]
276,52.0183387,4.3660211,10,[]
277,52.0161293,4.3647015,2,[]
278,52.0181856,4.3662643,1,[]
279,52.0123372,4.3688311,3,[]
280,52.0178919,4.3684229,1,[]
281,52.0176947,4.3687026,1,[]
282,52.0183364,4.3671374,3,[]
283,52.0176439,4.3667181,1,[]
284,52.0166831,4.3630122,1,[]
285,52.0132172,4.3685368,2,[]
286,52.0166566,4.3626078,2,[]
287,52.0177927,4.3656575,1,[]
288,52.0166025,4.3638825,1,[]
289,52.0179105,4.3684024,1,[]
290,52.016877,4.3634789,1,[]
291,52.017973,4.3674196,1,[]
292,52.0131521,4.3689658,1,[]
293,52.0147537,4.3654641,10,[]
294,52.0177077,4.3629062,1,[]
295,52.0166235,4.3628709,1,[]
296,52.01625,4.3630376,1,[]
297,52.0126153,4.3677124,4,[]
298,52.0177492,4.3685803,1,[]
299,52.0166968,4.362731,1,[]
300,52.0150778,4.3650879,1,[]
301,52.0171581,4.3655859,1,[]
302,52.0182411,4.3672283,3,[]
303,52.0156365,4.3652469,2,[]
304,52.0168183,4.3630115,2,[]
305,52.012266,4.3688822,3,[]
306,52.0165749,4.3627548,1,[]
307,52.0128159,4.3684873,3,[]
308,52.0149756,4.3649383,2,[]
309,52.0131367,4.3689296,1,[]
310,52.0159747,4.3634572,8,[]
311,52.0165615,4.3622568,3,[]
312,52.0178844,4.3627148,1,[]
313,52.0157722,4.3650332,1,[]
314,52.0180512,4.3622667,3,[]
315,52.0169372,4.3636232,2,[]
