,latitude,longitude,addr,amenity
495,51.9870565,4.3574271,3,[]
496,51.9799084,4.3384152,2,[]
497,51.9834415,4.3512794,1,[]
498,51.9796484,4.3479471,1,[]
499,51.9827116,4.3398818,4,[]
500,51.9836558,4.3628728,10,[]
501,51.9854403,4.3634885,2,[]
502,51.9856518,4.364662,1,[]
503,51.9848345,4.3517806,4,[]
504,51.985884,4.3604753,6,[]
505,51.9813555,4.3661316,1,[]
506,51.9800714,4.3579535,1,[]
507,51.9852903,4.3658632,2,[]
508,51.9804779,4.3578927,1,[]
509,51.9830999,4.3400356,1,[]
510,51.9838781,4.3525132,1,[]
511,51.9840545,4.3516846,1,[]
512,51.9800133,4.3473787,2,[]
513,51.9865233,4.3600192,1,[]
514,51.9862777,4.3573467,1,[]
515,51.9848788,4.3498304,1,[]
516,51.9844117,4.3507971,2,[]
517,51.983603,4.3482484,2,[]
518,51.9815418,4.3361147,10,[]
519,51.9842259,4.3492875,2,[]
520,51.9833261,4.3477732,2,[]
521,51.9788597,4.3388354,1,[]
522,51.9841692,4.351263,4,[]
523,51.9795343,4.3478568,3,[]
524,51.9848948,4.349932,1,[]
525,51.977866,4.3439042,5,[]
526,51.9784615,4.3454456,4,[]
527,51.9804358,4.3459511,1,[]
528,51.9836186,4.3505791,2,[]
529,51.9811619,4.359486,3,[]
530,51.9859315,4.360781,1,[]
531,51.9807986,4.3435412,1,[]
532,51.9817956,4.3567559,5,[]
533,51.9817817,4.3566728,3,[]
534,51.978487,4.3471463,4,[]
535,51.9804278,4.3588093,1,[]
536,51.9810449,4.3567859,1,[]
537,51.9840677,4.345064,4,[]
538,51.9845015,4.35067,1,[]
539,51.9809982,4.3449395,1,[]
540,51.9821784,4.345244,1,[]
541,51.9824438,4.3563614,1,[]
542,51.9846356,4.3632072,5,[]
543,51.9820009,4.339397,2,[]
544,51.9823389,4.3592053,5,[]
545,51.9841403,4.3482947,1,[]
546,51.9823668,4.340034,5,[]
547,51.9835578,4.3507441,2,[]
548,51.9851624,4.3563111,3,[]
