,latitude,longitude,amenity
311,52.0055951,4.3647113,
312,52.0056603,4.3666547,
313,52.0054964,4.3634996,
314,52.0059070,4.3685406,
315,52.0059070,4.3685408,
316,52.0059070,4.3685409,
317,52.0059071,4.3685411,
318,52.0059071,4.3685413,
319,52.0063070,4.3635166,
320,52.0058788,4.3668767,
321,52.0060983,4.3628104,
322,52.0053692,4.3615351,
323,52.0063070,4.3635168,
324,52.0058392,4.3668471,
325,52.0063069,4.3635170,
326,52.0063069,4.3635172,
327,52.0063068,4.3635174,
328,52.0063068,4.3635176,
329,52.0063068,4.3635178,
330,52.0063067,4.3635180,
331,52.0063067,4.3635182,
332,52.0061604,4.3638735,
333,52.0054783,4.3616891,
334,52.0066105,4.3646695,
335,52.0052403,4.3659956,
336,52.0061602,4.3689531,
337,52.0059422,4.3669343,
338,52.0055806,4.3638750,
339,52.0072119,4.3666725,
340,52.0057828,4.3628504,
341,52.0053676,4.3616770,
342,52.0058782,4.3638079,
343,52.0056082,4.3669388,
344,52.0054455,4.3628296,
345,52.0059072,4.3685415,
346,52.0059072,4.3685417,
347,52.0059072,4.3685419,
348,52.0059073,4.3685421,
349,52.0059073,4.3685423,
350,52.0062159,4.3646024,
351,52.0061599,4.3641972,
352,52.0054304,4.3683800,
353,52.0064095,4.3673264,
354,52.0056186,4.3647845,
355,52.0056018,4.3666326,
356,52.0055027,4.3635211,
357,52.0059073,4.3685425,
358,52.0059074,4.3685427,
359,52.0059074,4.3685429,
360,52.0059075,4.3685431,
361,52.0059075,4.3685433,
362,52.0055690,4.3668771,
363,52.0059075,4.3685435,
364,52.0059076,4.3685437,
365,52.0059076,4.3685439,
366,52.0059072,4.3685359,
367,52.0059076,4.3685441,
368,52.0062160,4.3646023,
369,52.0061600,4.3641970,
370,52.0064096,4.3673266,
371,52.0056429,4.3648566,
372,52.0056106,4.3666130,
373,52.0054430,4.3635464,
374,52.0059077,4.3685443,
375,52.0059077,4.3685445,
376,52.0059077,4.3685447,
377,52.0059078,4.3685449,
378,52.0059078,4.3685451,
379,52.0059721,4.3651831,
380,52.0055621,4.3668984,
381,52.0054379,4.3627506,
382,52.0059079,4.3685453,
383,52.0059079,4.3685455,
384,52.0059079,4.3685457,
385,52.0059080,4.3685459,
386,52.0059080,4.3685461,
