,center_lat,center_lon
287,52.0125510,4.3686775
288,52.0179234,4.3626644
289,52.0131871,4.3684571
290,52.0152147,4.3654131
291,52.0172092,4.3628930
292,52.0178645,4.3606428
293,52.0179330,4.3619764
294,52.0180953,4.3663657
295,52.0137152,4.3663125
296,52.0164838,4.3635994
297,52.0182944,4.3610435
298,52.0165055,4.3625879
299,52.0131851,4.3690432
300,52.0132337,4.3691568
301,52.0153066,4.3658170
302,52.0178231,4.3656233
303,52.0154574,4.3638385
304,52.0152700,4.3655444
305,52.0130054,4.3686222
306,52.0182776,4.3640335
307,52.0176005,4.3657922
308,52.0167960,4.3618314
309,52.0164266,4.3634624
310,52.0180836,4.3621148
311,52.0174897,4.3619826
312,52.0129584,4.3685165
313,52.0178571,4.3685237
314,52.0180541,4.3665000
315,52.0151326,4.3652180
316,52.0182256,4.3642027
317,52.0166124,4.3639063
318,52.0170963,4.3635521
319,52.0160150,4.3648279
320,52.0150058,4.3690477
321,52.0139160,4.3667542
322,52.0181937,4.3608252
323,52.0167748,4.3639817
324,52.0149956,4.3649860
325,52.0163094,4.3631800
326,52.0151538,4.3642362
327,52.0166983,4.3640657
328,52.0177166,4.3624144
329,52.0180073,4.3651885
330,52.0178051,4.3609368
331,52.0131009,4.3684255
332,52.0157360,4.3642966
333,52.0150161,4.3650349
334,52.0157879,4.3650792
335,52.0163587,4.3632973
336,52.0138523,4.3666135
337,52.0126810,4.3675982
338,52.0180701,4.3653357
339,52.0170337,4.3634457
340,52.0131034,4.3688519
341,52.0175251,4.3688274
342,52.0179284,4.3684451
343,52.0147081,4.3653585
344,52.0134306,4.3690608
345,52.0152306,4.3681218
346,52.0163723,4.3625742
347,52.0164167,4.3634381
348,52.0181381,4.3624409
349,52.0128981,4.3677280
350,52.0158258,4.3650373
351,52.0135564,4.3662142
352,52.0182107,4.3672623
353,52.0170463,4.3652915
354,52.0177984,4.3628058
355,52.0179919,4.3621215
356,52.0183597,4.3660702
357,52.0154148,4.3680917
358,52.0130396,4.3687023
359,52.0181266,4.3623774
360,52.0137408,4.3663685
361,52.0150601,4.3692365
362,52.0150232,4.3649579
363,52.0148972,4.3686701
364,52.0183387,4.3660211
365,52.0161293,4.3647015
366,52.0181856,4.3662643
367,52.0123372,4.3688311
368,52.0178919,4.3684229
369,52.0176947,4.3687026
370,52.0183364,4.3671374
371,52.0125886,4.3691552
372,52.0176439,4.3667181
373,52.0166831,4.3630122
374,52.0132172,4.3685368
375,52.0173695,4.3660107
376,52.0166566,4.3626078
377,52.0177927,4.3656575
378,52.0156117,4.3652106
379,52.0166025,4.3638825
380,52.0179105,4.3684024
381,52.0179809,4.3683822
382,52.0168770,4.3634789
383,52.0179730,4.3674196
384,52.0131521,4.3689658
385,52.0147537,4.3654641
386,52.0177077,4.3629062
387,52.0166609,4.3640250
388,52.0166235,4.3628709
389,52.0162500,4.3630376
390,52.0126153,4.3677124
391,52.0177492,4.3685803
392,52.0166968,4.3627310
393,52.0150778,4.3650879
394,52.0165157,4.3626125
395,52.0176199,4.3630049
396,52.0171581,4.3655859
397,52.0182411,4.3672283
398,52.0156365,4.3652469
399,52.0168183,4.3630115
400,52.0122660,4.3688822
401,52.0124766,4.3689954
402,52.0125598,4.3690067
403,52.0176555,4.3656579
404,52.0160907,4.3647441
405,52.0165749,4.3627548
406,52.0128159,4.3684873
407,52.0149756,4.3649383
408,52.0131367,4.3689296
409,52.0159747,4.3634572
410,52.0165615,4.3622568
411,52.0178844,4.3627148
412,52.0157722,4.3650332
413,52.0180512,4.3622667
414,52.0169372,4.3636232
415,52.0135413,4.3661810
416,52.0131976,4.3690013
417,52.0173394,4.3689780
418,52.0128316,4.3687528
419,52.0183069,4.3661280
420,52.0151874,4.3653480
421,52.0127559,4.3685300
422,52.0176958,4.3624370
423,52.0183600,4.3613416
424,52.0180628,4.3677006
425,52.0171936,4.3626331
426,52.0165531,4.3637652
427,52.0167318,4.3631260
428,52.0175431,4.3688698
429,52.0179332,4.3655895
430,52.0164914,4.3625447
431,52.0176363,4.3622915
432,52.0173581,4.3689575
433,52.0151599,4.3652830
434,52.0153810,4.3639387
435,52.0136179,4.3672957
436,52.0168185,4.3633383
437,52.0178168,4.3627864
438,52.0159310,4.3647095
439,52.0177760,4.3625599
440,52.0181722,4.3623103
441,52.0130692,4.3687011
442,52.0156190,4.3644376
443,52.0179659,4.3683465
444,52.0139308,4.3667871
445,52.0133431,4.3688565
446,52.0169109,4.3622163
447,52.0174559,4.3632268
448,52.0149958,4.3648928
449,52.0156920,4.3651220
450,52.0176650,4.3656802
451,52.0133954,4.3665100
452,52.0125363,4.3690366
453,52.0170068,4.3636432
454,52.0182171,4.3607910
455,52.0177678,4.3685596
456,52.0137885,4.3664730
457,52.0140105,4.3659419
458,52.0157122,4.3651630
459,52.0167863,4.3620068
460,52.0177669,4.3686227
461,52.0179140,4.3655210
462,52.0146350,4.3651807
463,52.0174306,4.3688780
464,52.0180480,4.3625292
465,52.0159015,4.3649536
466,52.0179460,4.3674232
467,52.0171588,4.3634883
468,52.0182283,4.3623579
469,52.0128050,4.3676208
470,52.0179099,4.3684656
