,latitude,longitude,amenity
132,51.9924726,4.3439405,restaurant
133,51.9848097,4.3426974,
134,51.9999103,4.3427244,
135,51.9839325,4.3608181,school
136,52.0124421,4.3743355,
137,52.0241325,4.3547309,fast_food
138,51.9851769,4.3455308,
139,51.9830669,4.3549973,
140,51.9826824,4.3457268,doctors
141,52.0107977,4.3582897,
142,51.9973116,4.3742002,
143,52.0083684,4.3614651,warehouse
144,51.9817716,4.3938535,restaurant
145,52.0087264,4.3641018,
146,52.0092524,4.3646134,
147,52.0164353,4.3682687,pharmacy
148,51.9759915,4.3117541,fuel
149,52.0050863,4.3905225,
150,52.0190516,4.3730208,
151,52.0101997,4.3620189,fast_food
152,52.0113878,4.3567202,fast_food
153,52.0107426,4.3595448,pub
154,52.0111127,4.3625201,cafe
155,52.0088013,4.3642884,
156,52.0087275,4.3638447,
157,52.0097260,4.3628512,
158,52.0111030,4.3650760,
159,52.0003713,4.3317905,community_centre
160,52.0120679,4.3557942,cafe
161,52.0133384,4.3585620,restaurant
162,52.0008292,4.3790113,kindergarten
163,51.9946267,4.3665883,
164,52.0104180,4.3634683,
165,52.0162634,4.3038808,fast_food
166,52.0175488,4.3024098,
167,52.0095791,4.3591986,
168,51.9878065,4.3459232,
169,51.9878483,4.3462362,
170,52.0126541,4.3480308,
171,52.0123603,4.3465008,
172,52.0124436,4.3482256,
173,52.0124666,4.3480356,
174,52.0124017,4.3480009,
175,52.0128122,4.3426798,school
176,52.0107291,4.3442079,school
177,52.0126649,4.3545986,
178,52.0148632,4.3516931,
179,52.0149621,4.3510760,
180,52.0099621,4.3566412,
181,52.0097468,4.3561394,
182,52.0055633,4.3536696,kindergarten
183,52.0102370,4.3610578,
184,52.0016657,4.3697549,
185,52.0113191,4.3516291,
186,52.0128272,4.3571433,
187,52.0091837,4.3523313,
188,52.0090954,4.3521057,
189,52.0089347,4.3516172,
190,52.0092741,4.3525401,
191,52.0090980,4.3524933,
192,52.0092672,4.3528646,
193,52.0089673,4.3544059,
194,52.0090916,4.3544513,
195,52.0093062,4.3525819,restaurant
196,52.0093409,4.3526831,
197,52.0106540,4.3498601,restaurant
198,51.9917004,4.3568384,fuel
199,51.9824292,4.3719924,fuel
200,51.9772811,4.3168320,cafe
201,52.0091804,4.3272926,school
202,52.0090767,4.3270800,school
203,52.0136440,4.3620755,
204,51.9972100,4.3971854,charging_station
205,51.9820253,4.3457205,restaurant
206,51.9821236,4.3465723,fast_food
207,52.0122015,4.3589958,
208,51.9988087,4.3755745,university
209,52.0187162,4.3620872,
210,51.9980592,4.3554550,
211,52.0021137,4.3461799,
212,52.0017257,4.3628186,
213,52.0014369,4.3624628,
214,51.9976297,4.3519991,
215,52.0112318,4.3453617,
216,52.0251181,4.3634035,
217,52.0106264,4.3565234,restaurant
218,52.0100395,4.3605457,
219,52.0062216,4.3612461,
220,52.0108558,4.3584407,
221,52.0044248,4.3508487,
222,52.0085932,4.3643741,
223,52.0086443,4.3644674,fast_food
224,52.0096905,4.3629203,
225,52.0105649,4.3602118,
226,52.0075012,4.3521339,
227,52.0075696,4.3520668,
228,51.9977525,4.3237978,
229,52.0066514,4.3126887,
230,52.0033855,4.3432806,kindergarten
231,52.0096885,4.3607877,
232,51.9895878,4.3691138,
233,52.0046033,4.3598929,restaurant
234,52.0101563,4.3624556,
235,51.9819342,4.3451560,
236,51.9798610,4.3188691,fire_station
237,51.9996802,4.3553327,restaurant
238,51.9990131,4.3542040,
239,51.9999860,4.3535277,
240,52.0123472,4.3626106,
241,51.9979126,4.3540245,
242,51.9972169,4.3509566,
243,52.0108198,4.3597411,pub
244,52.0113250,4.3620060,
245,51.9672317,4.3719960,
246,52.0059997,4.3761230,
247,52.0114288,4.3579742,restaurant
248,52.0133280,4.3565001,
249,52.0285088,4.3523912,place_of_worship
250,52.0150175,4.3613944,school
251,52.0051264,4.3915569,atm
252,52.0052734,4.3915151,
253,52.0098825,4.3953894,
254,52.0111132,4.3591427,
255,52.0140715,4.3658667,parking_entrance
256,52.0096840,4.3958101,
257,51.9815367,4.3624440,
258,51.9793764,4.3551815,
259,51.9844954,4.3409436,
260,51.9859723,4.3649595,
261,51.9819632,4.3653007,
262,51.9791512,4.3497191,
263,51.9814960,4.3667016,
264,51.9831893,4.3449748,
265,51.9853626,4.3469622,
266,51.9817769,4.3437780,
267,51.9906959,4.3757167,
268,51.9841272,4.3510408,
269,51.9831629,4.3440488,
270,51.9791461,4.3514014,
271,51.9805913,4.3389061,
272,51.9868121,4.3706287,
273,51.9806091,4.3457452,
274,51.9792819,4.3506808,
275,51.9854562,4.3620362,
276,51.9811480,4.3424699,
277,51.9868016,4.3601187,
278,51.9822640,4.3472400,
279,51.9840628,4.3495704,
280,51.9830401,4.3660517,
281,51.9811559,4.3375694,
282,51.9863726,4.3822529,
283,51.9837339,4.3477210,
284,51.9814916,4.3600350,
285,51.9835713,4.3519764,
286,51.9826962,4.3624703,
287,51.9856302,4.3630295,
288,51.9834875,4.3447043,
289,51.9848896,4.3510908,
290,51.9830204,4.3497741,social_facility
291,51.9785852,4.3394460,
292,51.9821269,4.3477752,
293,51.9824161,4.3492763,
294,51.9936930,4.3839339,
