,addr:housenumber,addr:street,latitude,longitude,id
58739,50B,Rotterdamseweg,52.0053573,4.3632741,5322518040
58740,50A,Rotterdamseweg,52.0053573,4.3632741,5322518041
58741,81A,Hof van Delftlaan,52.0121489,4.3478917,5322518042
58742,11G,Rotterdamseweg,52.0057622,4.3631472,5322518043
58743,11F,Rotterdamseweg,52.0057622,4.3631472,5322518044
58744,11E,Rotterdamseweg,52.0057866,4.3631370,5322518045
58745,11D,Rotterdamseweg,52.0057668,4.3631799,5322518046
58746,11C,Rotterdamseweg,52.0057831,4.3631825,5322518047
58747,11B,Rotterdamseweg,52.0057897,4.3632012,5322518048
58748,9G,Rotterdamseweg,52.0058263,4.3630747,5322518049
58749,9F,Rotterdamseweg,52.0058263,4.3630747,5322518050
58750,9E,Rotterdamseweg,52.0058263,4.3630747,5322518051
58751,9D,Rotterdamseweg,52.0058263,4.3630747,5322518052
58752,9C,Rotterdamseweg,52.0058263,4.3630747,5322518053
58753,9B,Rotterdamseweg,52.0058263,4.3630747,5322518054
58754,93E,Ternatestraat,52.0232652,4.3546215,5322518055
58755,93D,Ternatestraat,52.0232652,4.3546215,5322518056
58756,93C,Ternatestraat,52.0232652,4.3546215,5322518057
58757,93B,Ternatestraat,52.0232652,4.3546215,5322518058
58758,93A,Ternatestraat,52.0232652,4.3546215,5322518059
58759,40A,Binnenwatersloot,52.0100580,4.3568601,5322518060
58760,40,Binnenwatersloot,52.0100580,4.3568601,5322518061
58761,8X,Griegstraat,51.9962276,4.3426128,5322518062
58762,8W,Griegstraat,51.9962258,4.3426129,5322518063
58763,8V,Griegstraat,51.9962239,4.3426130,5322518064
58764,8T,Griegstraat,51.9962220,4.3426132,5322518065
58765,8S,Griegstraat,51.9962202,4.3426133,5322518066
58766,8R,Griegstraat,51.9962183,4.3426135,5322518067
58767,8P,Griegstraat,51.9962164,4.3426136,5322518068
58768,8N,Griegstraat,51.9962146,4.3426137,5322518069
58769,8M,Griegstraat,51.9962127,4.3426139,5322518070
58770,8L,Griegstraat,51.9962108,4.3426140,5322518071
58771,8K,Griegstraat,51.9962090,4.3426142,5322518072
58772,8J,Griegstraat,51.9962071,4.3426143,5322518073
58773,8H,Griegstraat,51.9962052,4.3426145,5322518074
58774,8G,Griegstraat,51.9962389,4.3426119,5322518075
58775,8F,Griegstraat,51.9962370,4.3426121,5322518076
58776,8E,Griegstraat,51.9962351,4.3426122,5322518077
58777,8D,Griegstraat,51.9962333,4.3426123,5322518078
58778,8C,Griegstraat,51.9962314,4.3426125,5322518079
58779,8B,Griegstraat,51.9962295,4.3426126,5322518080
58780,8A,Griegstraat,51.9962407,4.3426118,5322518081
58781,34,Choorstraat,52.0131563,4.3580522,5322518082
58782,49,Verwersdijk,52.0149017,4.3567690,5322518083
58783,48F,Oude Delft,52.0092801,4.3580999,5322518086
58784,48E,Oude Delft,52.0092801,4.3580999,5322518087
58785,48D,Oude Delft,52.0092801,4.3580999,5322518088
58786,48C,Oude Delft,52.0092801,4.3580999,5322518089
58787,5,Halsteeg,52.0119307,4.3576288,5322518090
58788,2,Van der Burghweg,51.9975127,4.3792823,5322518091
58789,2,Clarenstraat,52.0079367,4.3605527,5322518092
58790,66,Lange Geer,52.0078881,4.3604008,5322518093
58791,6B,Havenstraat,52.0092919,4.3540095,5322518094
58792,6A,Havenstraat,52.0092919,4.3540095,5322518095
58793,68D,Lange Geer,52.0079147,4.3603869,5322518096
58794,68C,Lange Geer,52.0079147,4.3603869,5322518097
58795,68B,Lange Geer,52.0079147,4.3603869,5322518098
58796,68A,Lange Geer,52.0079147,4.3603869,5322518099
58797,137A,Molslaan,52.0114362,4.3643534,5322518100
58798,28C,Phoenixstraat,52.0106015,4.3549606,5322518101
58799,28B,Phoenixstraat,52.0106015,4.3549606,5322518102
58800,40R,Mina Krusemanstraat,52.0021138,4.3462181,5322518103
58801,40P,Mina Krusemanstraat,52.0021138,4.3462207,5322518104
58802,40N,Mina Krusemanstraat,52.0021138,4.3462232,5322518105
58803,40M,Mina Krusemanstraat,52.0021138,4.3461775,5322518106
58804,40L,Mina Krusemanstraat,52.0021138,4.3461800,5322518107
58805,40K,Mina Krusemanstraat,52.0021138,4.3461826,5322518108
58806,40J,Mina Krusemanstraat,52.0021138,4.3461851,5322518109
58807,40H,Mina Krusemanstraat,52.0021138,4.3461876,5322518110
58808,40G,Mina Krusemanstraat,52.0021138,4.3461902,5322518111
